group_id,icon_name,product_id,score
1,hot_sale,993330,98382
1,hot_sale,982223,98382
1,hot_sale,993958,98382
1,hot_sale,627008,98382
1,hot_sale,994307,98382
1,hot_sale,984197,98382
1,hot_sale,993850,98382
1,hot_sale,983648,98382
1,hot_sale,993864,98382
1,hot_sale,992321,98382
1,hot_sale,981640,98382
1,hot_sale,993907,98382
1,hot_sale,994049,98382
1,hot_sale,994301,98382
1,hot_sale,967571,98382
1,hot_sale,153511,98382
1,hot_sale,982973,98382
1,hot_sale,7340,98382
1,hot_sale,981287,98382
1,hot_sale,985218,98382
1,hot_sale,967585,98382
1,hot_sale,992859,98382
1,hot_sale,994309,98382
1,hot_sale,985738,98382
1,hot_sale,991726,98382
1,hot_sale,992629,98382
1,hot_sale,993335,98382
1,hot_sale,994512,98382
1,hot_sale,991673,98382
1,hot_sale,993484,98382
1,hot_sale,354512,98379
1,hot_sale,212017,98379
1,hot_sale,991408,98378
1,hot_sale,1134,98370
1,hot_sale,981764,98367
1,hot_sale,985929,98334
1,hot_sale,987984,98332
1,hot_sale,734529,98293
1,hot_sale,993338,98262
1,hot_sale,991392,98112
1,hot_sale,993242,97949
1,hot_sale,993704,97733
1,hot_sale,987994,96606
1,hot_sale,992598,81879
1,hot_sale,989695,49511
1,hot_sale,993039,42436
1,hot_sale,983253,41432
1,hot_sale,994161,37525
1,hot_sale,994200,35463
1,hot_sale,994060,35381
1,new_prod,993953,98382
1,new_prod,993969,98382
1,new_prod,994354,98382
1,new_prod,993968,98382
1,new_prod,994099,98382
1,new_prod,952560,98382
1,new_prod,994170,98382
1,new_prod,994393,98382
1,new_prod,994168,98382
1,new_prod,994392,98382
1,new_prod,994076,98382
1,new_prod,994316,98382
1,new_prod,994169,98382
1,new_prod,994165,98382
1,new_prod,982016,98382
1,new_prod,994100,98382
1,new_prod,994095,98382
1,new_prod,994181,98382
1,new_prod,994184,98382
1,new_prod,994182,98382
1,new_prod,994654,98382
1,new_prod,993967,98382
1,new_prod,994653,98382
1,new_prod,994508,98382
1,new_prod,994536,98382
1,new_prod,992634,98382
1,new_prod,994167,98382
1,new_prod,994166,98382
1,new_prod,994652,98382
1,new_prod,994183,98382
1,new_prod,994546,98382
1,new_prod,994547,98382
1,new_prod,994545,98382
1,new_prod,994185,98382
1,new_prod,994186,98382
1,new_prod,994443,98382
1,new_prod,994442,98382
1,new_prod,994444,98382
1,new_prod,994163,98382
1,serum,988600,98382
1,serum,991392,98382
1,serum,985670,98382
1,serum,896120,98382
1,serum,987070,98382
1,serum,962390,98382
1,serum,581625,98382
1,serum,982890,98382
1,serum,581624,98382
1,serum,983728,98382
1,serum,582013,98382
1,serum,993036,98382
1,serum,985699,98382
1,serum,724131,98382
1,serum,991405,98382
1,serum,979797,98382
1,serum,989677,98382
1,serum,991183,98382
1,serum,990496,98382
1,serum,992942,98381
1,serum,845536,98381
1,serum,969551,98381
1,serum,938014,98321
1,serum,975570,98106
1,serum,991194,98091
1,serum,986561,96809
1,serum,981948,96764
1,serum,980001,95685
1,serum,991943,93932
1,serum,991464,93755
1,serum,949088,93463
1,serum,883019,87402
1,serum,984232,85050
1,serum,992120,83246
1,serum,157502,81799
1,serum,991307,81206
1,serum,969795,79919
1,serum,991236,79176
1,serum,986305,78363
1,serum,952518,77288
1,serum,538217,76525
1,serum,994284,76239
1,serum,941502,76053
1,serum,981965,73925
1,serum,994267,73677
1,serum,981987,70342
1,serum,988601,68462
1,serum,967900,68358
1,serum,991231,67843
1,serum,983849,56410
1,facial_mask,991673,98382
1,facial_mask,993005,98382
1,facial_mask,983868,98382
1,facial_mask,980030,98382
1,facial_mask,981756,98382
1,facial_mask,980029,98382
1,facial_mask,987071,98382
1,facial_mask,987077,98382
1,facial_mask,5686,98382
1,facial_mask,980305,98382
1,facial_mask,549030,98382
1,facial_mask,980031,98382
1,facial_mask,986452,98382
1,facial_mask,982774,98382
1,facial_mask,905068,98382
1,facial_mask,979916,98382
1,facial_mask,981759,98382
1,facial_mask,991903,98382
1,facial_mask,983899,98382
1,facial_mask,984491,98382
1,facial_mask,990855,98382
1,facial_mask,984626,98382
1,facial_mask,905070,98382
1,facial_mask,905084,98382
1,facial_mask,991212,98382
1,facial_mask,982775,98382
1,facial_mask,981758,98381
1,facial_mask,983764,98381
1,facial_mask,983347,98380
1,facial_mask,993846,98373
1,facial_mask,5687,98362
1,facial_mask,990490,98344
1,facial_mask,845527,98271
1,facial_mask,833542,98163
1,facial_mask,905059,98159
1,facial_mask,986451,98041
1,facial_mask,984292,97988
1,facial_mask,5801,97652
1,facial_mask,381540,97348
1,facial_mask,982260,97047
1,facial_mask,878001,95220
1,facial_mask,988806,91739
1,facial_mask,833543,85361
1,facial_mask,450155,78766
1,facial_mask,985125,73048
1,facial_mask,5818,69978
1,facial_mask,985821,59744
1,facial_mask,975674,59017
1,facial_mask,450156,58687
1,facial_mask,983262,52821
1,lip_stick,994307,98382
1,lip_stick,983648,98382
