group_id,icon_name,product_id,score
6,hot_sale,7340,50722
6,hot_sale,153511,50721
6,hot_sale,985929,50715
6,hot_sale,994307,50711
6,hot_sale,967571,50702
6,hot_sale,981640,50697
6,hot_sale,994301,50690
6,hot_sale,983648,50688
6,hot_sale,967585,50685
6,hot_sale,992321,50682
6,hot_sale,994383,50679
6,hot_sale,993850,50675
6,hot_sale,985218,50660
6,hot_sale,993330,50650
6,hot_sale,994049,50638
6,hot_sale,981287,50626
6,hot_sale,993039,50626
6,hot_sale,627008,50611
6,hot_sale,983253,50607
6,hot_sale,982223,50536
6,hot_sale,994200,50536
6,hot_sale,994199,50303
6,hot_sale,985738,50061
6,hot_sale,993093,48735
6,hot_sale,993500,48726
6,hot_sale,987702,48541
6,hot_sale,993347,48466
6,hot_sale,984197,47936
6,hot_sale,993907,47758
6,hot_sale,993864,47346
6,hot_sale,992629,46804
6,hot_sale,983952,45531
6,hot_sale,993958,45175
6,hot_sale,982973,44608
6,hot_sale,991673,43466
6,hot_sale,988890,41275
6,hot_sale,991408,40261
6,hot_sale,991695,38668
6,hot_sale,981648,38198
6,hot_sale,992575,37966
6,hot_sale,981645,37667
6,hot_sale,354512,31659
6,hot_sale,993484,31528
6,hot_sale,984091,30880
6,hot_sale,992600,30871
6,hot_sale,994480,29889
6,hot_sale,993954,28651
6,hot_sale,992976,27764
6,hot_sale,212017,27605
6,hot_sale,990006,23680
6,new_prod,993953,50751
6,new_prod,994354,50751
6,new_prod,994652,50751
6,new_prod,993969,50751
6,new_prod,952560,50751
6,new_prod,993968,50751
6,new_prod,994099,50751
6,new_prod,994076,50751
6,new_prod,994170,50751
6,new_prod,992634,50751
6,new_prod,994393,50751
6,new_prod,994095,50751
6,new_prod,994392,50751
6,new_prod,994181,50751
6,new_prod,994184,50751
6,new_prod,994182,50751
6,new_prod,994316,50751
6,new_prod,994169,50751
6,new_prod,994165,50751
6,new_prod,994168,50751
6,new_prod,994546,50751
6,new_prod,994547,50751
6,new_prod,994545,50751
6,new_prod,994163,50751
6,new_prod,994100,50751
6,new_prod,982016,50751
6,new_prod,994183,50751
6,new_prod,994185,50751
6,new_prod,994186,50751
6,new_prod,994654,50751
6,new_prod,994653,50751
6,new_prod,994508,50751
6,new_prod,993967,50751
6,new_prod,994536,50751
6,new_prod,994167,50751
6,new_prod,994166,50751
6,new_prod,994443,50751
6,new_prod,994442,50751
6,new_prod,994444,50751
6,serum,982890,50742
6,serum,581624,50739
6,serum,988600,50737
6,serum,991392,50737
6,serum,581625,50737
6,serum,983728,50736
6,serum,724131,50734
6,serum,985699,50734
6,serum,991405,50732
6,serum,582013,50732
6,serum,989677,50732
6,serum,896120,50732
6,serum,991183,50731
6,serum,538217,50730
6,serum,941502,50709
6,serum,828554,50692
6,serum,979797,50642
6,serum,981987,50637
6,serum,967900,50605
6,serum,990496,50584
6,serum,981965,50528
6,serum,991943,50500
6,serum,962390,50493
6,serum,962387,50453
6,serum,994284,50446
6,serum,105059,50433
6,serum,884516,50394
6,serum,464002,50386
6,serum,986905,50353
6,serum,157502,50301
