group,icon,op_code,vote_score
1,facial_mask,990859,22089
1,facial_mask,988583,22089
1,facial_mask,992118,22089
1,facial_mask,982252,22088
1,facial_mask,155533,22088
1,facial_mask,991673,22087
1,facial_mask,982179,22084
1,facial_mask,719012,22081
1,facial_mask,986170,22079
1,facial_mask,982178,22077
1,facial_mask,991238,21968
1,facial_mask,845552,21915
1,facial_mask,7250,21301
1,facial_mask,986308,19603
1,facial_mask,988249,19176
1,facial_mask,990855,17906
1,lip_stick,994199,22090
1,lip_stick,983253,22090
1,lip_stick,993980,22090
1,lip_stick,994307,22090
1,lip_stick,981640,22090
1,lip_stick,983977,22090
1,lip_stick,985688,22090
1,lip_stick,988466,22090
1,lip_stick,6825,22090
1,lip_stick,983059,22090
1,lip_stick,983648,22090
1,lip_stick,981322,22090
1,lip_stick,354512,22090
1,lip_stick,778029,22090
1,lip_stick,988233,22090
1,lip_stick,991315,22090
1,lip_stick,983784,22090
1,lip_stick,989863,22090
1,lip_stick,982040,22090
1,lip_stick,741508,22090
1,lip_stick,983207,22089
1,lip_stick,992321,22089
1,lip_stick,990432,22089
1,lip_stick,956783,22089
1,lip_stick,988314,22089
1,lip_stick,983653,22089
1,lip_stick,991399,22089
1,lip_stick,989833,22088
1,lip_stick,988072,22088
1,lip_stick,993039,22087
1,lip_stick,994301,22085
1,lip_stick,982248,22085
1,lip_stick,985738,22072
1,lip_stick,991400,22066
1,lip_stick,981650,21976
1,lip_stick,994040,21959
1,lip_stick,993754,21915
1,lip_stick,3651,21833
1,lip_stick,987022,21819
1,lip_stick,3420,21814
1,lip_stick,984326,21811
1,lip_stick,987775,20915
1,lip_stick,502012,20655
1,lip_stick,994039,20458
1,lip_stick,987845,18304
1,lip_stick,223002,18145
1,lip_stick,981323,17344
1,lip_stick,982034,16881
1,lip_stick,905545,14625
1,lip_stick,994383,12216
1,fragrance,987759,22090
1,fragrance,988682,22090
1,fragrance,1919,22090
1,fragrance,984102,22090
1,fragrance,990669,22090
1,fragrance,993190,22090
1,fragrance,1134,22090
1,fragrance,984079,22090
1,fragrance,981711,22090
1,fragrance,981707,22090
1,fragrance,956566,22090
1,fragrance,982203,22090
1,fragrance,905033,22090
1,fragrance,6641,22090
1,fragrance,992597,22090
1,fragrance,987758,22090
1,fragrance,992621,22090
1,fragrance,992846,22090
1,fragrance,545522,22089
1,fragrance,991468,22089
1,fragrance,983952,22089
1,fragrance,991136,22089
1,fragrance,993329,22089
1,fragrance,982209,22089
1,fragrance,992765,22089
1,fragrance,988426,22088
1,fragrance,987756,22087
1,fragrance,991062,22086
1,fragrance,989603,22086
1,fragrance,969517,22085
1,fragrance,984078,22080
1,fragrance,3900,22066
1,fragrance,485504,22063
1,fragrance,1841,22062
1,fragrance,982161,22054
1,fragrance,985034,22030
1,fragrance,990666,22026
1,fragrance,991951,21861
1,fragrance,987617,21852
1,fragrance,521059,21766
1,fragrance,962145,21272
1,fragrance,983217,20059
1,fragrance,988655,20038
1,fragrance,992598,19570
1,fragrance,819154,18814
1,fragrance,991061,15784
1,fragrance,988657,15131
1,fragrance,989619,14429
1,fragrance,984082,12125
1,fragrance,986709,10938
2,hot_sale,991416,59439
2,hot_sale,982849,59439
2,hot_sale,581624,59439
2,hot_sale,987984,59439
2,hot_sale,991402,59439
2,hot_sale,994200,59439
2,hot_sale,993862,59439
2,hot_sale,5802,59439
2,hot_sale,992829,59439
2,hot_sale,991408,59439
2,hot_sale,983952,59439
2,hot_sale,1134,59439
2,hot_sale,988682,59438
2,hot_sale,991880,59438
2,hot_sale,992261,59438
2,hot_sale,992832,59438
2,hot_sale,991695,59437
2,hot_sale,991392,59437
2,hot_sale,992859,59436
2,hot_sale,993646,59436
2,hot_sale,991742,59435
2,hot_sale,983885,59434
2,hot_sale,992863,59432
2,hot_sale,984197,59432
2,hot_sale,992846,59431
2,hot_sale,993750,59431
2,hot_sale,994629,59430
2,hot_sale,993335,59430
2,hot_sale,993958,59428
2,hot_sale,993704,59426
2,hot_sale,992850,59424
2,hot_sale,734529,59423
2,hot_sale,5801,59413
2,hot_sale,994161,59398
2,hot_sale,983253,59396
2,hot_sale,992598,59388
2,hot_sale,993330,59141
2,hot_sale,993484,59074
2,hot_sale,994060,58916
2,hot_sale,993954,58798
2,hot_sale,989695,58640
2,hot_sale,991898,58291
2,hot_sale,981645,58023
2,hot_sale,985929,57977
2,hot_sale,994199,55654
2,hot_sale,983389,54389
2,hot_sale,993747,41922
2,hot_sale,994059,35991
2,hot_sale,994307,35471
2,hot_sale,992600,29993
2,new_prod,994181,59439
2,new_prod,994095,59439
2,new_prod,982016,59439
2,new_prod,994183,59439
2,new_prod,994185,59439
2,new_prod,994186,59439
2,new_prod,994184,59439
2,new_prod,994182,59439
2,new_prod,994100,59439
2,new_prod,994076,59439
2,new_prod,994546,59439
2,new_prod,994547,59439
2,new_prod,994545,59439
2,new_prod,994508,59439
2,new_prod,992634,59439
2,new_prod,993969,59439
2,new_prod,994654,59439
2,new_prod,994653,59439
2,new_prod,994536,59439
2,new_prod,993967,59439
2,new_prod,994652,59439
2,new_prod,993968,59439
2,new_prod,994167,59439
2,new_prod,994166,59439
2,new_prod,994443,59439
2,new_prod,994442,59439
2,new_prod,994444,59439
2,new_prod,994168,59439
2,new_prod,994099,59439
2,new_prod,994165,59439
2,new_prod,994169,59439
2,new_prod,994170,59439
2,new_prod,994354,59439
2,new_prod,994316,59439
2,new_prod,994163,59439
2,new_prod,994393,59439
2,new_prod,994392,59439
2,new_prod,952560,59439
2,new_prod,993953,59439
2,serum,581624,59439
2,serum,985699,59439
2,serum,981965,59439
2,serum,983776,59439
2,serum,464002,59439
2,serum,988081,59439
2,serum,905075,59439
2,serum,938014,59439
2,serum,992120,59439
2,serum,986715,59439
2,serum,6624,59439
2,serum,991405,59438
2,serum,994284,59438
2,serum,985254,59438
2,serum,981987,59438
2,serum,545524,59437
2,serum,982890,59432
2,serum,991392,59431
2,serum,988600,59431
2,serum,985790,59431
2,serum,581625,59429
2,serum,962387,59429
2,serum,992942,59428
2,serum,896120,59425
2,serum,988590,59419
2,serum,992901,59410
2,serum,986905,59410
2,serum,884516,59401
2,serum,991307,59372
2,serum,986300,59371
2,serum,845550,59368
2,serum,991154,59336
2,serum,105059,59333
2,serum,724131,59244
2,serum,991183,59180
2,serum,989317,59177
2,serum,984369,59149
2,serum,989677,59055
2,serum,962390,58981
2,serum,981948,58965
2,serum,993036,58817
2,serum,941502,58606
2,serum,991599,57085
2,serum,991231,55772
2,serum,985670,53538
2,serum,883019,44045
2,serum,991943,35287
2,serum,986305,34026
2,serum,538217,31099
2,serum,952518,29561
2,facial_mask,992844,59439
2,facial_mask,984999,59439
2,facial_mask,987824,59439
2,facial_mask,986283,59439
2,facial_mask,991903,59439
2,facial_mask,971528,59439
2,facial_mask,5824,59439
2,facial_mask,357512,59439
2,facial_mask,988806,59439
2,facial_mask,986747,59439
2,facial_mask,990490,59439
2,facial_mask,985821,59439
2,facial_mask,959518,59439
2,facial_mask,316582,59439
2,facial_mask,5801,59438
2,facial_mask,979916,59437
2,facial_mask,549030,59437
2,facial_mask,905070,59437
2,facial_mask,3637,59437
2,facial_mask,985125,59437
2,facial_mask,992118,59437
2,facial_mask,5818,59436
2,facial_mask,986273,59434
2,facial_mask,983884,59431
2,facial_mask,984491,59431
2,facial_mask,830561,59431
2,facial_mask,521049,59428
2,facial_mask,878001,59426
2,facial_mask,975936,59421
2,facial_mask,905059,59420
2,facial_mask,990598,59420
2,facial_mask,990859,59418
2,facial_mask,988812,59415
2,facial_mask,639012,59412
2,facial_mask,155533,59400
2,facial_mask,988583,59397
2,facial_mask,982178,59374
2,facial_mask,982252,59371
2,facial_mask,381540,59317
2,facial_mask,986170,59298
2,facial_mask,982179,59294
2,facial_mask,991238,59293
2,facial_mask,293544,59195
2,facial_mask,719012,59006
2,facial_mask,845552,55547
